매출,기준_년_코드,상권_구분_코드_명,상권_코드,상권_코드_명,시간대1,시간대2,시간대3,시간대4,시간대5,분기_1,분기_2,분기_3,총 상주인구 수,총 가구 수,총_직장인구_수,시간대_생활인구_수,관공서_수,은행_수,백화점_수,숙박_시설_수,area,시간대_버스_승하차승객수,시간대_지하철_승하차승객수,지하철역_수,평일_생활인구_평균,주말_생활인구_평균,상권내_총_아파트_세대_수,배후지_총_아파트_세대_수,면적당_버스정류장_수,면적당_점포_수,면적당_집객시설_수,직장인구/상주인구
441468.4524,2020,골목상권,2110971,선정릉역 4번,1,0,0,0,0,0,0,1,3836,2425,1542,222244,1,1,0,4,133221,0,0,0,134334.8,111264.0,1637,2865.7121093770975,0.0,0.6005059262428596,0.5254426854625022,0.40198123044838374
13316.31884,2020,골목상권,2110972,강남세브란스병원미래의학연구센터,1,0,0,0,0,0,0,1,1995,1013,2628,67016,0,0,0,0,46603,0,0,0,33369.8,30480.5,630,2865.051706425131,0.0,0.6437353818423708,0.42915692122824706,1.3172932330827067
114360.4692,2020,골목상권,2110974,언주중학교,1,0,0,0,0,0,0,1,1479,770,292,185718,0,0,0,0,35150,0,0,0,109115.6,98755.0,535,2864.790279158863,0.0,1.7069701280227596,0.5689900426742532,0.19743069641649763
93593.99457,2020,골목상권,2110975,매봉역 1번,1,0,0,0,0,0,0,1,944,361,10837,56042,0,0,0,0,52363,8311,7555,1,41217.2,39490.5,250,2864.529159375,0.5729236292802169,1.1458472585604338,2.100719974027462,11.479872881355933
36389.84239,2020,골목상권,2110976,언북초등학교,1,0,0,0,0,0,0,1,2011,1046,578,174889,0,0,0,0,55724,0,0,0,126370.6,108895.0,476,2864.8861656861463,0.0,1.076735338453808,0.3589117794846027,0.2874191944306315
51427.33816,2020,골목상권,2110977,논현로18길,1,0,0,0,0,0,0,1,707,335,148,32014,0,0,0,0,17287,0,0,0,20058.6,17201.0,108,2864.8936120498793,0.0,5.206224330421704,0.0,0.20933521923620935
67900.47464,2020,골목상권,2110980,개포지구대옆,1,0,0,0,0,0,0,1,2707,1114,663,139710,0,0,0,0,85827,0,0,0,77256.6,67897.5,679,2865.290736784288,0.0,0.3495403544339194,0.23302690295594627,0.2449205762837089
152896.1051,2020,골목상권,2110981,국악고교사거리,1,0,0,0,0,0,0,1,2105,876,361,140411,0,0,0,0,67409,691,0,0,75033.6,72492.0,543,2865.53690278628,0.5933925736919403,1.3351332908068656,1.0384370039608954,0.17149643705463183
26878.68478,2020,골목상권,2110982,강남구보훈회관,1,0,0,0,0,0,0,1,837,409,166,58802,0,0,0,1,19865,0,0,0,30688.6,32057.0,844,2865.454278682527,0.0,0.5033979360684622,0.5033979360684622,0.1983273596176822
125321.721,2020,골목상권,2110983,국립국악고등학교,1,0,0,0,0,0,0,1,2836,1257,783,123815,1,0,0,0,56041,0,0,0,60867.0,57733.0,602,2864.949055651171,0.0,0.535322353277065,0.7137631377027533,0.27609308885754585
